Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/701-Waterside-Dr-Marco-Island-FL-34145/103172823_zpid/,,Lot / Land for sale,Lot/Land,99,499000,Yes,100000.0,06/05/2024,,,,0.33,acres,,,701 Waterside Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/440-Seaview-Ct-APT-1602-Marco-Island-FL-34145/43796171_zpid/,,Condo for sale,Condominium,134,769000,No,,,1070.0,sqft,718.69,,,2.0,2.0,440 Seaview Ct APT 1602,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/488-Capri-Ct-Marco-Island-FL-34145/103100287_zpid/,,Lot / Land for sale,Lot/Land,43,1150000,Yes,49000.0,01/31/2024,,,,0.26,acres,,,488 Capri Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/320-Seaview-Ct-2-303-Marco-Island-FL-34145/348484186_zpid/,,Condo for sale,Condominium,141,798500,Yes,36500.0,05/11/2024,1074.0,sqft,743.48,,,2.0,2.0,320 Seaview Ct #2-303,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/389-Rookery-Ct-Marco-Island-FL-34145/43774460_zpid/,,Lot / Land for sale,Lot/Land,66,1599500,No,,,,,,0.25,acres,,,389 Rookery Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/822-Whiskey-Creek-Dr-Marco-Island-FL-34145/103110844_zpid/,,Lot / Land for sale,Lot/Land,107,299000,Yes,90900.0,08/19/2024,,,,0.78,acres,,,822 Whiskey Creek Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/180-Seaview-Ct-APT-316-Marco-Island-FL-34145/54204018_zpid/,,Condo for sale,Condominium,29,800000,No,,,876.0,sqft,913.24,,,2.0,2.0,180 Seaview Ct APT 316,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1072-Fieldstone-Dr-Marco-Island-FL-34145/43776055_zpid/,,Lot / Land for sale,Lot/Land,72,3295000,No,,,,,,0.33,acres,,,1072 Fieldstone Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1023-Blue-Hill-Creek-Dr-Marco-Island-FL-34145/103177774_zpid/,,Lot / Land for sale,Lot/Land,198,890000,No,,,,,,0.87,acres,,,1023 Blue Hill Creek Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1085-Bald-Eagle-Dr-UNIT-A510-Marco-Island-FL-34145/54198138_zpid/,,Condo for sale,Condominium,163,749000,No,,,1000.0,sqft,749.0,,,1.0,2.0,1085 Bald Eagle Dr UNIT A510,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/767-Whiskey-Creek-Dr-Marco-Island-FL-34145/103060477_zpid/,,Lot / Land for sale,Lot/Land,771,213000,Yes,1000.0,09/06/2024,,,,0.63,acres,,,767 Whiskey Creek Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1457-Butterfield-Ct-Marco-Island-FL-34145/54187717_zpid/,,Lot / Land for sale,Lot/Land,162,3950000,No,,,,,,0.34,acres,,,1457 Butterfield Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/380-Seaview-Ct-APT-510-Marco-Island-FL-34145/43795968_zpid/,,Condo for sale,Condominium,191,749000,Yes,40000.0,08/30/2024,1010.0,sqft,741.58,,,2.0,2.0,380 Seaview Ct APT 510,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1215-Edington-Pl-APT-M5-Marco-Island-FL-34145/43802318_zpid/,,Condo for sale,Condominium,316,475000,No,,,570.0,sqft,833.33,,,1.0,1.0,1215 Edington Pl APT M5,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/87-N-Collier-Blvd-APT-J9-Marco-Island-FL-34145/54183743_zpid/,,Condo for sale,Condominium,323,415000,Yes,35000.0,03/19/2024,540.0,sqft,768.52,,,1.0,1.0,87 N Collier Blvd APT J9,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1020-Dill-Ct-Marco-Island-FL-34145/103056477_zpid/,,Lot / Land for sale,Lot/Land,237,1850000,No,,,,,,0.3,acres,,,1020 Dill Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/87-N-Collier-Blvd-APT-J4-Marco-Island-FL-34145/54183738_zpid/,,Condo for sale,Condominium,451,399000,Yes,36000.0,03/25/2024,540.0,sqft,738.89,0.0,sqft,1.0,1.0,87 N Collier Blvd APT J4,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/320-Seaview-Ct-APT-1708-Marco-Island-FL-34145/43796462_zpid/,,Condo for sale,Condominium,324,799000,Yes,50000.0,05/21/2024,1154.0,sqft,692.37,0.0,sqft,2.0,2.0,320 Seaview Ct APT 1708,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/87-N-Collier-Blvd-4-Marco-Island-FL-34145/2115470119_zpid/,,Condo for sale,Condominium,451,399000,Yes,36000.0,03/25/2024,540.0,sqft,738.89,,,1.0,1.0,87 N Collier Blvd #4,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/174-S-Collier-Blvd-UNIT-606-Marco-Island-FL-34145/54196579_zpid/,,Condo for sale,Condominium,204,1775000,Yes,100000.0,07/27/2024,1898.0,sqft,935.19,,,3.0,3.0,174 S Collier Blvd UNIT 606,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/133-S-Collier-Blvd-C-502-Marco-Island-FL-34145/55816524_zpid/,,Condo for sale,Condominium,407,624900,Yes,25000.0,03/19/2024,1082.0,sqft,577.54,,,2.0,2.0,133 S Collier Blvd #C-502,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/756-Orchid-Ct-Marco-Island-FL-34145/98372885_zpid/,,Lot / Land for sale,Lot/Land,182,1750000,Yes,50000.0,08/29/2024,,,,8712.0,sqft,,,756 Orchid Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/3-Romano-Ter-Marco-Island-FL-34145/2061734992_zpid/,,Lot / Land for sale,Lot/Land,348,174999,No,,,,,,1.21,acres,,,3 Romano Ter,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/826-Magnolia-Ct-Marco-Island-FL-34145/103117696_zpid/,,Lot / Land for sale,Lot/Land,138,1699000,No,,,,,,8712.0,sqft,,,826 Magnolia Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1783-Watson-Rd-Marco-Island-FL-34145/103145978_zpid/,,Lot / Land for sale,Lot/Land,84,650000,No,,,,,,0.34,acres,,,1783 Watson Rd,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/380-Seaview-Ct-APT-1108-Marco-Island-FL-34145/54201965_zpid/,,Condo for sale,Condominium,896,849000,Yes,126000.0,01/24/2024,1047.0,sqft,810.89,,,2.0,2.0,380 Seaview Ct APT 1108,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/336-Hawaii-Cir-Marco-Island-FL-34145/103165314_zpid/,,Lot / Land for sale,Lot/Land,863,239000,Yes,20000.0,04/28/2023,,,,0.3,acres,,,336 Hawaii Cir,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1030-Coronado-Ct-Marco-Island-FL-34145/43775732_zpid/,,Lot / Land for sale,Lot/Land,82,1800000,Yes,100000.0,06/22/2024,,,,8712.0,sqft,,,1030 Coronado Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/621-Inlet-Dr-Marco-Island-FL-34145/103163599_zpid/,,Lot / Land for sale,Lot/Land,614,2795000,Yes,705000.0,01/08/2024,,,,1.24,acres,,,621 Inlet Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1031-Anglers-Cv-A203-Marco-Island-FL-34145/43738654_zpid/,,Condo for sale,Condominium,160,475000,No,,,1200.0,sqft,395.83,0.0,sqft,1.0,2.0,1031 Anglers Cv #A203,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1031-Anglers-Cv-UNIT-203-Marco-Island-FL-34145/347250161_zpid/,,Condo for sale,Condominium,160,475000,No,,,717.0,sqft,662.48,,,1.0,2.0,1031 Anglers Cv UNIT 203,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1041-Swallow-Ave-UNIT-202-Marco-Island-FL-34145/54190519_zpid/,,Condo for sale,Condominium,126,680000,No,,,1146.0,sqft,593.37,,,2.0,2.0,1041 Swallow Ave UNIT 202,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1402-N-Collier-Blvd-Marco-Island-FL-34145/97857150_zpid/,,Lot / Land for sale,Lot/Land,140,369000,No,,,,,,,,,,1402 N Collier Blvd,Marco island,34145,FL,USA
https://www.zillow.com/homedetails/268-N-Barfield-Dr-Marco-Island-FL-34145/103099682_zpid/,,Lot / Land for sale,Lot/Land,4,1199000,Yes,86000.0,09/08/2024,,,,0.25,acres,,,268 N Barfield Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/819-Buttonwood-Ct-Marco-Island-FL-34145/43773853_zpid/,,House for sale,Single Family,49,2700000,No,,,1574.0,sqft,1715.37,0.25,acres,3.0,2.0,819 Buttonwood Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/598-Spinnaker-Dr-Marco-Island-FL-34145/103140220_zpid/,,New construction,Single Family,665,7200000,No,,,7058.0,sqft,1020.12,0.42,acres,6.0,8.0,598 Spinnaker Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1185-Lighthouse-Ct-Marco-Island-FL-34145/43744963_zpid/,,House for sale,Single Family,329,4275000,Yes,615000.0,07/07/2024,3372.0,sqft,1267.79,,,3.0,4.0,1185 Lighthouse Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/671-S-Barfield-Dr-Marco-Island-FL-34145/103172403_zpid/,,House for sale,Single Family,63,2899500,Yes,95500.0,08/14/2024,3408.0,sqft,850.79,0.5,acres,4.0,4.0,671 S Barfield Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/228-Goodland-Dr-E-Goodland-FL-34140/54180081_zpid/,,House for sale,Single Family,206,1250000,Yes,100000.0,08/22/2024,1924.0,sqft,649.69,6969.6,sqft,2.0,1.0,228 Goodland Dr E,Goodland,34140,FL,USA
https://www.zillow.com/homedetails/1960-San-Marco-Rd-Marco-Island-FL-34145/103120198_zpid/,,New construction,Single Family,245,6500000,No,,,4627.0,sqft,1404.8,0.41,acres,5.0,7.0,1960 San Marco Rd,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/380-Seaview-Ct-APT-1205-Marco-Island-FL-34145/43796006_zpid/,,Condo for sale,Condominium,224,725000,Yes,23900.0,07/16/2024,1070.0,sqft,677.57,,,2.0,2.0,380 Seaview Ct APT 1205,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/845-Collier-Ct-APT-502-Marco-Island-FL-34145/43799302_zpid/,,Condo for sale,Condominium,131,975000,No,,,1630.0,sqft,598.16,,,2.0,3.0,845 Collier Ct APT 502,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1598-San-Marco-Rd-Marco-Island-FL-34145/43774637_zpid/,,House for sale,Single Family,80,2850000,No,,,3800.0,sqft,750.0,0.39,acres,7.0,5.0,1598 San Marco Rd,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/440-Seaview-Ct-APT-1901-Marco-Island-FL-34145/43796197_zpid/,,Condo for sale,Condominium,72,999000,No,,,1070.0,sqft,933.64,,,2.0,2.0,440 Seaview Ct APT 1901,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/980-Cape-Marco-Dr-UNIT-1406-Marco-Island-FL-34145/43778776_zpid/,,Condo for sale,Condominium,223,1599000,Yes,100000.0,08/29/2024,1978.0,sqft,808.39,,,2.0,2.0,980 Cape Marco Dr UNIT 1406,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/82-Tahiti-Rd-Marco-Island-FL-34145/103067695_zpid/,,New construction,Single Family,53,1700000,No,,,2250.0,sqft,755.56,0.25,acres,4.0,3.0,82 Tahiti Rd,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/970-Cape-Marco-Dr-UNIT-2202-Marco-Island-FL-34145/63473325_zpid/,,Condo for sale,Condominium,115,6750000,No,,,4694.0,sqft,1438.01,,,4.0,5.0,970 Cape Marco Dr UNIT 2202,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1070-Dana-Ct-Marco-Island-FL-34145/103121220_zpid/,,House for sale,Single Family,205,2995000,Yes,280000.0,05/31/2024,3493.0,sqft,857.43,9583.2,sqft,4.0,4.0,1070 Dana Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1641-Orleans-Ct-Marco-Island-FL-34145/103135700_zpid/,,House for sale,Single Family,88,2950000,No,,,1984.0,sqft,1486.9,8712.0,sqft,3.0,3.0,1641 Orleans Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/845-Collier-Ct-APT-304-Marco-Island-FL-34145/43799297_zpid/,,Condo for sale,Condominium,111,945000,No,,,1630.0,sqft,579.75,0.0,sqft,2.0,3.0,845 Collier Ct APT 304,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/422-Richards-Ct-Marco-Island-FL-34145/54189223_zpid/,,House for sale,Single Family,305,2299000,No,,,2281.0,sqft,1007.89,0.36,acres,3.0,3.0,422 Richards Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1215-Edington-Pl-APT-H4-Marco-Island-FL-34145/43802298_zpid/,,Condo for sale,Condominium,59,425000,No,,,570.0,sqft,745.61,0.0,sqft,1.0,1.0,1215 Edington Pl APT H4,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/140-Seaview-Ct-APT-1406S-Marco-Island-FL-34145/43738285_zpid/,,Condo for sale,Condominium,129,845000,No,,,868.0,sqft,973.5,,,2.0,2.0,140 Seaview Ct APT 1406S,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/380-Seaview-Ct-APT-207-Marco-Island-FL-34145/54201914_zpid/,,Condo for sale,Condominium,274,699000,Yes,46000.0,01/23/2024,1047.0,sqft,667.62,,,2.0,2.0,380 Seaview Ct APT 207,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/161-Post-Ct-Marco-Island-FL-34145/103136510_zpid/,,New construction,Single Family,49,2900000,No,,,2586.0,sqft,1121.42,9583.2,sqft,4.0,4.0,161 Post Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/980-Cape-Marco-Dr-UNIT-505-Marco-Island-FL-34145/43778710_zpid/,,Condo for sale,Condominium,187,1599000,Yes,96000.0,08/20/2024,2112.0,sqft,757.1,,,3.0,3.0,980 Cape Marco Dr UNIT 505,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/625-Hernando-Dr-Marco-Island-FL-34145/103169443_zpid/,,New construction,Single Family,217,3650000,Yes,315000.0,03/18/2024,3264.0,sqft,1118.26,9583.2,sqft,4.0,5.0,625 Hernando Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/375-Periwinkle-Ct-Marco-Island-FL-34145/103174960_zpid/,,New construction,Single Family,265,3990000,No,,,3741.0,sqft,1066.56,10454.4,sqft,4.0,5.0,375 Periwinkle Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/46-Manor-Ter-APT-209-Marco-Island-FL-34145/2058770566_zpid/,,Condo for sale,Condominium,16,489900,No,,,814.0,sqft,601.84,,,2.0,2.0,46 Manor Ter APT 209,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/861-S-Collier-Blvd-S-206-Marco-Island-FL-34145/54172457_zpid/,,Condo for sale,Condominium,58,934900,No,,,1186.0,sqft,788.28,,,3.0,2.0,861 S Collier Blvd #S-206,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/970-Cape-Marco-Dr-UNIT-1801-Marco-Island-FL-34145/63473300_zpid/,,Condo for sale,Condominium,163,3495000,No,,,3029.0,sqft,1153.85,,,3.0,4.0,970 Cape Marco Dr UNIT 1801,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/861-S-Collier-Blvd-UNIT-206-Marco-Island-FL-34145/2060413127_zpid/,,Condo for sale,Condominium,58,939000,No,,,1186.0,sqft,791.74,,,3.0,2.0,861 S Collier Blvd UNIT 206,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/220-S-Collier-Blvd-UNIT-402-Marco-Island-FL-34145/43748607_zpid/,,Condo for sale,Condominium,303,1999000,No,,,2075.0,sqft,963.37,,,3.0,3.0,220 S Collier Blvd UNIT 402,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1041-S-Collier-Blvd-APT-307-Marco-Island-FL-34145/43744051_zpid/,,Condo for sale,Condominium,183,799000,Yes,50000.0,03/29/2024,1564.0,sqft,510.87,,,3.0,2.0,1041 S Collier Blvd APT 307,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1845-Honduras-Ave-Marco-Island-FL-34145/43774262_zpid/,,House for sale,Single Family,181,3325000,Yes,75000.0,06/27/2024,2551.0,sqft,1303.41,0.25,acres,3.0,4.0,1845 Honduras Ave,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/140-Seaview-Ct-1704-Marco-Island-FL-34145/348611298_zpid/,,Condo for sale,Condominium,139,559000,No,,,610.0,sqft,916.39,0.0,sqft,1.0,2.0,140 Seaview Ct #1704,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1362-San-Marco-Rd-Marco-Island-FL-34145/2061734486_zpid/,,New construction,Single Family,17,1850000,No,,,2396.0,sqft,772.12,8712.0,sqft,4.0,4.0,1362 San Marco Rd,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/961-Collier-Ct-APT-105-Marco-Island-FL-34145/43743666_zpid/,,Condo for sale,Condominium,153,835000,Yes,5000.0,08/15/2024,2025.0,sqft,412.35,,,3.0,2.0,961 Collier Ct APT 105,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1040-San-Marco-Rd-Marco-Island-FL-34145/103148120_zpid/,,New construction,Single Family,216,2725000,Yes,270000.0,05/31/2024,3176.0,sqft,858.0,8800.0,sqft,4.0,4.0,1040 San Marco Rd,Marco Island,34145,FL,USA
